image,xmin,ymin,xmax,ymax,label
img-6021.jpg,1708,1292,1797,1399,Crack
img-6021a.jpg,3461,2573,3618,2832,Crack
img-6022.jpg,1756,1496,1829,1636,Crack
img-6022.jpg,1770,1334,1871,1515,Crack
img-6023.jpg,1793,1711,1868,1880,Crack
img-6042.jpg,1745,703,1848,821,Crack
img-6043.jpg,1742,805,1833,938,Crack
img-6044.jpg,1702,1068,1763,1181,Crack
img-6045.jpg,1705,1292,1809,1427,Crack
img-6045a.jpg,3427,2539,3607,2843,Crack
img-6046.jpg,1702,1558,1795,1696,Crack
img-7615.jpg,2036,827,2145,1162,Crack
img-7889.jpg,1210,1088,1557,1648,Crack
img-7890.jpg,1255,1193,1628,1732,Crack
img-7891.jpg,950,851,1033,997,Crack
img-7891.jpg,1283,865,1602,1498,Crack
img-7892.jpg,1066,848,1155,988,Crack
img-7892.jpg,1363,862,1718,1486,Crack
img-7893.jpg,989,1088,1087,1212,Crack
img-7893.jpg,1363,1122,1653,1715,Crack
img-7894.jpg,1300,1193,1582,1905,Crack
img-7894.jpg,717,1190,813,1396,Crack
img-7895.jpg,1258,6,1659,718,Crack
img-7896.jpg,1054,855,1328,1524,Crack
img-7896.jpg,483,857,575,1043,Crack
img-7897.jpg,1261,127,1486,794,Crack
img-7897.jpg,633,142,725,341,Crack
img-7898.jpg,1382,386,1656,1028,Crack
img-7898.jpg,811,429,915,612,Crack
img-7899.jpg,1490,819,1763,1458,Crack
img-7899.jpg,913,845,1016,1056,Crack
img-7900.jpg,1026,1654,1155,1942,Crack
img-7901.jpg,1000,726,1212,1189,Crack
img-7902.jpg,1068,692,1288,1124,Crack
img-7903.jpg,1077,669,1291,1099,Crack
img-7904.jpg,1080,681,1308,1076,Crack
img-7914.jpg,1281,702,1693,1479,Crack
img-7915.jpg,1306,838,1551,1349,Crack
img-7916.jpg,1289,835,1546,1346,Crack
img-7917.jpg,1080,630,1441,1373,Crack
img-8166.jpg,1524,625,1630,709,Crack
img-8167.jpg,1547,901,1619,1002,Crack
img-8168.jpg,1566,1167,1642,1284,Crack
img-8169.jpg,1552,1387,1653,1502,Crack
img-8170.jpg,1583,1557,1653,1618,Crack
img-8174.jpg,1346,695,1438,798,Crack
img-8175.jpg,1063,1029,1158,1173,Crack
img-8176.jpg,1363,720,1472,837,Crack
img-8261.jpg,723,374,793,472,Crack
img-8261-2.jpg,728,369,777,462,Crack
img-8407.jpg,1145,1238,1285,1373,Crack
img-8408.jpg,701,1496,889,1597,Crack
img-8454.jpg,1450,3,1540,87,Crack
img-8455.jpg,1496,470,1582,661,Crack
img-8456.jpg,1555,986,1659,1229,Crack
img-8457.jpg,1603,1459,1696,1679,Crack
img-8458.jpg,1685,1827,1758,1902,Crack
img-8473.jpg,1524,825,1611,957,Crack
img-8474.jpg,1232,1269,1333,1424,Crack
img-8475.jpg,893,1643,1005,1812,Crack
img-8595.jpg,1598,1216,1673,1353,Crack
img-8595-2.jpg,1586,1230,1670,1350,Crack
img-8596.jpg,1569,1552,1673,1693,Crack
img-8597.jpg,1579,1801,1615,1890,Crack
img-8607.jpg,1680,608,1746,675,Crack
img-8607-2.jpg,1674,603,1741,670,Crack
img-8713.jpg,1572,696,1650,758,Crack
img-8719.jpg,2347,521,2420,605,Crack
img-8720.jpg,2172,577,2245,673,Crack
img-8721.jpg,1923,600,2001,687,Crack
img-8724.jpg,1889,724,1976,794,Crack
img-8725.jpg,1569,679,1676,740,Crack
img-8726.jpg,1252,591,1381,670,Crack
img-8727.jpg,1049,480,1161,558,Crack
img-8735.jpg,2132,1153,2216,1237,Crack
img-8736.jpg,1980,1221,2069,1308,Crack
img-8737.jpg,1733,1227,1817,1325,Crack
img-8738.jpg,1453,1200,1518,1282,Crack
img-8746.jpg,1705,1106,1820,1190,Crack
img-8747.jpg,1476,818,1582,896,Crack
img-8750.jpg,1513,1143,1585,1202,Crack
img-8751.jpg,1249,758,1333,848,Crack
img-8752.jpg,1017,354,1130,472,Crack
img-8753.jpg,873,20,957,138,Crack
img-8760.jpg,2152,1490,2324,1591,Crack
img-8761.jpg,1422,465,1565,536,Crack
img-8764.jpg,1286,674,1396,772,Crack
img-8765.jpg,865,52,959,190,Crack
img-9272.jpg,1532,828,1599,892,Crack
img-9273.jpg,1482,1080,1568,1175,Crack
img-9274.jpg,1439,1303,1517,1413,Crack
img-9275.jpg,1425,1518,1506,1642,Crack
img-9276.jpg,1448,1779,1509,1888,Crack
img-9320.jpg,1725,705,1817,868,Crack
img-9321.jpg,1532,1160,1628,1264,Crack
img-9332.jpg,2090,93,2213,259,Crack
img-9333.jpg,1940,442,2044,607,Crack
img-9603.jpg,1535,1292,1684,1382,Crack
img-9604.jpg,1023,1122,1200,1212,Crack
img-9605.jpg,669,1005,824,1091,Crack
img-9615.jpg,2056,1411,2145,1489,Crack
img-9616.jpg,1544,1306,1693,1404,Crack
img-9617.jpg,1046,1182,1220,1300,Crack
pxl-20220607-133610099.jpg,995,644,1403,3385,Crack
pxl-20220607-133805714.jpg,974,1638,1285,1910,Crack
